type,pair,dataset,subset_idx,D_f,hq_mean,corr,wavelet_corr,weight,tci_global,mci_global,fold_idx,tmci_value,tmci_global,tmci_std_cv
MFDFA_subset,,LIGO-L1_1368350720,50,1.2544916719759511,1.1716050623005643,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,51,1.1644008022771064,1.1117592578977278,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,52,1.2182846407787482,1.1500830680873175,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,53,1.1926547787956112,1.1370689041058295,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,54,1.1830197455254672,1.128123585551648,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,55,1.266222979461947,1.1797028757448798,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,56,1.2992652078842601,1.1991482333083727,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,57,1.227610227272576,1.155331422226031,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,58,1.2595016971729247,1.17298253988024,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,59,1.2188929736001404,1.1463166266530453,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,60,1.2002291428860212,1.1378480866892662,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,61,1.1802864451254926,1.1214622380463894,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,62,1.1859833031085638,1.1243871502688625,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,63,1.2345579995915832,1.1571428547567562,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,64,1.2583301944366634,1.17467278214506,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,65,1.2542372245970317,1.1754543257113608,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,66,1.2467759533643186,1.169035584442459,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,67,1.2560447233513374,1.1699063446336369,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,68,1.1655291727696266,1.1090869182813232,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,69,1.2046121753289492,1.1459517246836175,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,70,1.2453756951237365,1.1662364300202865,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,71,1.244607702610481,1.1667342546897084,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,72,1.1778570573302067,1.1188537362054072,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,73,1.285430171317202,1.189621460982113,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,74,1.2679516572309384,1.1852131720689152,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,75,1.1882759170138273,1.1285191150884897,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,76,1.2327885750521486,1.155516504945887,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,77,1.2084083958899785,1.1395953972155235,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,78,1.170749877478427,1.116051648206109,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,79,1.2775522893799676,1.1906389404914954,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,80,1.2196969380316287,1.149862854667286,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,81,1.1802430350172581,1.117724824609412,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,82,1.2062558992697108,1.139589128746136,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,83,1.2521719432211407,1.16736766789844,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,84,1.1921344660079818,1.1392527534686103,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,85,1.2368228885477857,1.1605946784129766,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,86,1.1059611723206837,1.0623063523528686,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,87,1.236929549773637,1.1596003132855603,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,88,1.1902091243959296,1.1274155805484902,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,89,1.1643660823484212,1.1123139965513662,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,90,1.1687493361921768,1.1101518843140359,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,91,1.2668862930953335,1.1780559998816242,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,92,1.2513656753591895,1.1695232642184896,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,93,1.2067763194211336,1.1387138820349345,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,94,1.2174952801466117,1.1483039294231736,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,95,1.2165935396622718,1.1473895164702514,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,96,1.2054243100169395,1.139344151385139,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,97,1.216665095883678,1.1421446391129237,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,98,1.262690613033094,1.1776040168106439,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,99,1.2102378769222721,1.1442541986934183,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,0,1.266105849796137,1.1800000638082673,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,1,1.251453297796623,1.1686305046667207,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,2,1.184328270562579,1.1243120148723844,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,3,1.2260014872200045,1.1517729390011375,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,4,1.2227968342049196,1.1508249844285126,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,5,1.2086168028240196,1.1379535166597146,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,6,1.215798904672125,1.1559515762800072,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,7,1.2348942845950928,1.1585438782706443,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,8,1.1899061591239735,1.1301001750235913,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,9,1.1760533443527534,1.115964985382806,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,10,1.1725729548913382,1.1145716003101942,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,11,1.2154189426230873,1.1482925657858778,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,12,1.2350874073768823,1.1606591728378595,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,13,1.1938106713775614,1.1338404100974706,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,14,1.2936097581302997,1.196764367564382,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,15,1.2817168049014727,1.189795045516719,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,16,1.25033763223131,1.1758175653861478,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,17,1.2562626531262011,1.1745298117598344,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,18,1.222296832117165,1.149566588141877,,,,,,,,,
MFDFA_subset,,LIGO-L1_1370202112,19,1.2364274885722397,1.1603092883500468,,,,,,,,,
